facility_id,facility_name,basin,city,state,zip_code,primary_naics_code,industry_type_subpart,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1008081,"Vine Energy, Inc.",230 - Arkla Basin,Mansfield,LA,71052,211130,W-ONSH,186427.048,160762.264,187609.684,150379.142,150707.728,68373.538,49133.02,57695.54,144384.604,161694.662
1009039,WPX Energy Permian LLC,430 - Permian Basin,Oklahoma City,OK,73102,211130,W-ONSH,832796.65,858006.228,1385199.474,709735.144,137194.17,210348.17,419852.224,79480.18,46916.15,30838.462
1008190,West Bay,305 - Michigan Basin,Mason,MI,48854,211120,W-ONSH,35243.9,47341.764,55519.738,105151.842,57487.15,49160.514,58927.42,133405.906,158135.438,117721.996
1009783,"White Oak Energy 220 Gulf Coast Basin (LA, TX)","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77060,211120,W-ONSH,60573.756,81359.458,92475.95,100834.338,89805.656,157013.49,59089.858,16195.518,47638.464,29501.206
1009197,Whiting Oil and Gas Corporation 395 Williston Basin,395 - Williston Basin,Denver,CO,80203,211120,W-ONSH,1027285.484,2172582.68,3149794.598,1504564.708,1160038.402,2183686.088,1929965.77,665304.254,439895.688,381316.374
1010190,"Williston Basin (Petro-Hunt, LLC)",395 - Williston Basin,Killdeer,ND,58640,211120,W-ONSH,1054274.118,1455154.246,880102.024,556413.444,506775.722,1163253.778,928383.692,143682.83,192452.516,210628.384
1009607,Williston Basin/Sinclair Oil & Gas Company,395 - Williston Basin,Salt Lake City,UT,84102,211120,W-ONSH,77322.062,107508.458,55461.484,88220.386,26056.512,44607.59,40693.898,22485.514,36318.164,28698.338
1008116,XTO Energy Inc 160A Appalachian E Overthrust,160A - Appalachian Basin (Eastern Overthrust Area),Warrendale,PA,15086,211130,W-ONSH,167508.1138,129033.4007,97371.2278,74264.9713,106965.1235,125164.538,139120.252,134289.628,74065.376,105435.822
1009386,XTO Energy Inc 220 Gulf Coast,"220 - Gulf Coast Basin (LA, TX)",Fort Worth,TX,76164,211130,W-ONSH,110555.2568,71938.3855,84756.8395,76572.6986,76538.082,187958.826,227679.172,165689.684,491548.52,640414.5
1009082,XTO Energy Inc 230 Arkla,230 - Arkla Basin,Tyler,TX,75703,211130,W-ONSH,41798.2048,45063.6201,48690.0394,60131.4386,61469.748,78701.642,52247.272,90514.584,84360.758,98879.168
1008079,XTO Energy Inc 260 East Texas,260 - East Texas Basin,Tyler,TX,75703,211130,W-ONSH,432115.5153,536691.4742,634383.9404,662541.6704,707212.2456,894089.532,896841.292,1111721.768,727727.868,498268.4
1009392,XTO Energy Inc 345 Arkoma,345 - Arkoma Basin,Oklahoma City,OK,73102,211130,W-ONSH,121835.6422,276930.5079,345534.1059,495764.008,547351.612,641131.492,606415.972,631387.616,829779.076,694491.178
1008616,XTO Energy Inc 350 South Oklahoma Folded Belt,350 - South Oklahoma Folded Belt,Oklahoma City,OK,73102,211130,W-ONSH,135329.8748,140910.8722,157707.7145,130185.0418,151274.3157,238045.98,197630.424,152098.064,123623.228,64507.13
1009143,XTO Energy Inc 360 Anadarko,360 - Anadarko Basin,Oklahoma City,OK,73102,211130,W-ONSH,85082.3248,97015.5825,80890.3067,105683.52,99132.4697,106550.586,108804.23,250025.958,189138.876,146691.978
1008275,XTO Energy Inc 395 Williston,395 - Williston Basin,Englewood,CO,80112,211130,W-ONSH,696920.5961,1770529.68,1048459.5693,759815.2132,897826.81,1113420.68,1106020.808,565682.646,434763.302,100287.562
1009387,XTO Energy Inc 415 Strawn,415 - Strawn Basin,Fort Worth,TX,76164,211130,W-ONSH,508575.4928,532822.7534,550478.7922,368705.9262,299317.814,458065.976,475712.38,538068.374,466198.708,243355.964
1009388,XTO Energy Inc 420 Fort Worth Syncline,420 - Fort Worth Syncline,Fort Worth,TX,76164,211130,W-ONSH,78347.1629,77934.4363,78434.9192,52289.4046,50198.5748,65402.076,74580.174,83541.102,66927.69,53484.864
1009390,XTO Energy Inc 430 Permian,430 - Permian Basin,Midland,TX,79701,211130,W-ONSH,726425.0784,1990272.2241,1632900.1024,647170.1003,485280.729,544433.098,335163.146,262364.68,276265.484,132785.162
1008078,XTO Energy Inc 507 Central Western Overthrust,507 - Central Western Overthrust,Englewood,CO,80112,211130,W-ONSH,48260.8539,54398.8657,54131.7456,56806.5062,58233.992,60247.942,66978.232,71244.974,43612.148,35205.45
