facility_id,facility_name,city,state,zip_code,primary_naics_code,industry_type_subpart,industry_type_sector,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1002849,"MEP Station 4 Vicksburg, MS",EDWARDS,MS,39066,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,53447.708,60906.882,64182.118,57674.094,50830.22,12633.262,43319.292,42908.24,52083.82,55124.15
1007059,MERAUX REFINERY,MERAUX,LA,70075,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",631628.508,763295.328,690823.14,739008.366,665500.254,614829.64,703746.122,801311.752,744678.432,1098586.178
1004249,MERCEDES-BENZ US INTERNATIONAL INC,VANCE,AL,35490,336111,C,Other,40970.296,47860.62,47700.22,49295.364,47541.02,49166.064,50700.46,43314.936,42062.84,40821.796
1000425,MERCER COUNTY LANDFILL,PRINCETON,WV,24740,562212,HH,Waste,37036.25,57861.0,58766.75,59629.0,39301.5,39853.25,55620.5,62625.5,57045.0,57299.75
1003595,MERCK SHARP & DOHME CORP - Stonewall Plant,ELKTON,VA,22827,325412,C,Chemicals,38555.004,43648.484,45236.726,43596.382,42899.488,48643.816,50953.156,49796.51,52293.348,52617.498
1003261,MERCK SHARP & DOHME CORP. - RAHWAY,RAHWAY,NJ,7065,325412,C,Chemicals,85943.326,89745.632,101679.246,69735.276,59683.664,72589.638,77404.762,87135.09,90851.196,100876.84
1003063,MERCURY MARINE FOND DU LAC COMPLEX,FOND DU LAC,WI,54936,333618,C,Other,31409.996,37510.928,39101.97,39054.304,36142.838,35051.784,39649.254,38914.268,30969.052,30535.54
1006977,MESA COUNTY LANDFILL,GRAND JUNCTION,CO,81503,562212,"C,HH",Waste,86863.3,71068.75,66471.0,75920.0,60388.5,66849.5,77177.5,74229.75,71255.0,75684.75
1007893,MESQUITE CREEK LANDFILL,NEW BRAUNFELS,TX,78130,562212,"C,HH",Waste,64582.852,88570.602,84932.958,66296.872,53794.314,53798.294,49629.2,59534.44,50610.605862,76113.570384
1007727,METRO METHANE RECOVERY FACILITY,MITCHELLVILLE,IA,50169,562212,"C,HH",Waste,55246.152,46951.15,66662.426,90877.588,75774.222,44753.08,47995.612,39155.974,111628.524521,105848.312104
1005105,METROPOLITAN AIRPORTS COMMISSION,MINNEAPOLIS,MN,55450,488119,C,Other,22717.012,27880.984,28139.236,25306.544,24558.65,25106.054,28612.666,27911.682,23019.164,23312.412
1001644,"METTIKI COAL, LLC",OAKLAND,MD,21550,212112,C,Other,30164.07,38491.948,41613.786,42276.996,39616.316,41273.448,33713.24,45489.138,47736.676,63482.644
1006131,MEWBOURN GAS PLANT,GILCREST,CO,80623,211130,"C,W-PROC",Petroleum and Natural Gas Systems,283827.074,292954.434,258546.612,239689.776,238897.038,231255.8698,218877.655,229340.614,223283.604,135794.147
1002469,MEXIA LANDFILL,MEXIA,TX,76667,562212,HH,Waste,3890.5,4592.5,4576.0,4183.5,5257.0,4080.5,3582.25,15635.0,6682.5,14155.0
1006675,MEXICHEM FLUOR INC.,SAINT GABRIEL,LA,70776,325120,"C,L,OO","Chemicals,Industrial Gas Suppliers",51627.383,53988.331,52978.673,49448.897,57603.059,58577.417,59174.856,57323.66,156411.88,162345.26
1006611,MGM RESORTS INTERNATIONAL,LAS VEGAS,NV,89158,721120,C,Other,100925.82,138028.88,130246.06,128442.916,134521.544,132200.352,130349.06,133938.396,127726.768,130887.856
1002865,"MGPI Processing, Inc.",ATCHISON,KS,66002,312140,"C,II","Other,Waste",140917.872,144118.058,139751.474,136435.036,139394.026,139445.976,130700.358,146813.988,135607.572,145796.186
1004530,"MGPI of Indiana, LLC",LAWRENCEBURG,IN,47025,312140,"C,PP","Other,Suppliers of CO2",74243.32,74199.32,72968.776,68433.092,63139.112,83747.384,83747.384,85579.628,89346.26,108022.09
1005410,MGS Platform A,Offshore,AK,0,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,23862.444,23128.796,25973.384,17409.806,25026.386,32494.898,31107.23,26478.954,30099.822,29459.73
1006029,MGS Platform C,Offshore,AK,0,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,20190.758,21570.598,19987.144,16024.26,22153.752,29148.064,24470.932,34561.912,39573.246,37834.2
1005305,MIAMI UNIVERSITY (1409090081),OXFORD,OH,45056,611310,C,Other,21007.02,24569.708,28016.944,25622.904,29299.124,41382.066,53279.446,53414.966,43512.04,60733.378
1004503,MICHELIN NORTH AMERICA ARDMORE PLANT,ARDMORE,OK,73401,326211,C,Other,18277.132,26252.352,29721.888,30435.936,34358.92,1260.096,34399.02,67.028,32535.996,32335.338
1001250,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,48824,611310,C,Other,337811.294,374534.254,365555.738,339221.232,437071.06,436465.836,428783.154,480548.4,474994.932,541862.972
1006312,MICHIGAN SUGAR CO - CARO FACTORY,CARO,MI,48723,311313,"C,S",Minerals,60012.632,57576.056,55024.618,62581.976,63242.526,65273.066,58216.624,81947.204,83408.188,87344.478
1004477,MICHIGAN SUGAR CO - CROSWELL FACTORY,CROSWELL,MI,48422,311313,"C,S",Minerals,70284.976,50606.426,54696.672,58309.532,65535.614,66682.87,81345.076,72959.362,70756.018,97409.288
1005758,MICHIGAN SUGAR COMPANY - Bay City,BAY CITY,MI,48706,311313,"C,S",Minerals,159394.268,154003.086,160832.422,163787.072,155895.62,152047.714,153656.422,152335.49,162497.98,135116.0
1006343,MICHIGAN SUGAR COMPANY - SEBEWAING FACTORY,SEBEWAING,MI,48759,311313,"C,S",Minerals,107340.364,102115.46,98781.65,103507.174,87001.892,124889.472,109460.546,117813.442,122324.76,90275.602
1004883,MICROCHIP TECHNOLOGY INC,GRESHAM,OR,97030,334413,"C,I",Other,116683.55501,116593.62498,110205.28501,92125.90901,86763.26307,87183.52514,87222.83134,73290.025343,76207.68022,90378.13429
1004325,"MICRON TECHNOLOGY, INC.",BOISE,ID,83707,334413,"C,I",Other,61635.841,53972.445,74179.7891,67872.3848,82440.276,71680.84,51974.2955,62468.6093,73760.7026,67359.9116
1005476,MID AMERICA AGRI PRODUCTS WHEATLAND LLC,MADRID,NE,69150,325193,C,Other,44659.832,47649.52,48903.916,50775.208,49307.264,47961.42,49701.012,46498.124,46374.276,47945.42
1007847,MID-MISSOURI ENERGY LLC,MALTA BEND,MO,65339,325193,"C,PP","Other,Suppliers of CO2",73280.624,78970.752,82306.134,84073.478,82442.984,82784.082,80130.794,70522.736,60283.92,76314.658
